geoid (zcta),days_above_90_today,days_above_90_30yrs,change_days_above_90,days_above_100_today,days_above_100_30yrs,change_days_above_100,heatbin_125_today,heatbin_125_30yrs
1840,24,38,14,4,10,6,0.017,0.072
1841,24,38,14,4,10,6,0.017,0.072
1843,24,37,13,4,9,5,0.017,0.072
1844,24,37,14,4,9,6,0.017,0.072
1845,22,35,13,3,8,5,0.017,0.072
1850,24,38,14,3,9,6,0.011,0.017
1851,25,39,14,4,9,5,0.011,0.017
1852,24,38,14,3,9,6,0.011,0.017
1854,25,39,14,4,9,5,0.011,0.017
1860,20,34,14,3,7,4,0.017,0.072
1862,24,38,14,4,10,6,0.011,0.017
1863,25,39,14,4,9,5,0.011,0.017
1864,24,37,13,4,10,6,0.011,0.017
1867,22,36,14,4,10,6,0.011,0.017
1876,24,38,14,4,10,6,0.011,0.017
1879,25,39,14,4,9,5,0.011,0.017
1880,23,36,13,4,10,6,0.011,0.017
1886,24,38,14,3,9,6,0.011,0.017
1887,23,37,14,4,10,6,0.011,0.017
1890,23,36,13,4,10,6,0.011,0.017
1901,21,34,13,4,10,6,0.017,0.072
1902,21,34,13,4,10,6,0.017,0.072
1904,21,34,13,4,10,6,0.017,0.072
1905,21,34,13,4,10,6,0.017,0.072
1906,21,34,13,4,10,6,0.017,0.072
1907,21,33,12,4,9,5,0.017,0.072
1908,21,34,13,4,9,5,0.017,0.072
1913,17,30,13,2,6,4,0.017,0.072
1915,16,28,12,2,6,4,0.017,0.072
1921,21,35,14,3,8,5,0.017,0.072
1922,18,30,12,2,6,4,0.017,0.072
1923,20,33,13,3,8,5,0.017,0.072
1929,11,22,11,2,4,2,0.017,0.072
1930,6,14,8,1,3,2,0.017,0.072
1937,23,36,13,4,10,6,0.017,0.072
1938,12,23,11,2,5,3,0.017,0.072
1940,23,36,13,4,10,6,0.017,0.072
1944,12,23,11,2,5,3,0.017,0.072
1945,19,31,12,3,8,5,0.017,0.072
1949,24,37,13,4,10,6,0.017,0.072
1950,13,25,12,1,5,4,0.017,0.072
1951,11,22,11,1,4,3,0.017,0.072
1952,10,20,10,1,4,2,0.017,0.072
1960,21,33,12,4,9,5,0.017,0.072
1966,5,11,6,1,2,1,0.017,0.072
1969,15,27,12,2,6,4,0.017,0.072
1970,20,32,12,4,9,5,0.017,0.072
1982,15,26,11,2,6,4,0.017,0.072
1983,21,34,13,3,9,6,0.017,0.072
1984,16,28,12,2,7,5,0.017,0.072
1985,19,32,13,2,6,4,0.017,0.072
2019,24,37,13,4,9,5,0.028,0.022
2021,22,35,13,4,9,5,0.028,0.022
2025,18,30,12,3,7,4,0.028,0.022
2026,22,36,14,4,9,5,0.028,0.022
2030,24,38,14,4,10,6,0.028,0.022
2032,24,38,14,4,10,6,0.028,0.022
2035,23,36,13,4,9,5,0.028,0.022
2038,24,38,14,4,9,5,0.028,0.022
2043,19,31,12,3,7,4,0.050,0.078
2045,18,30,12,2,7,5,0.050,0.078
2047,18,30,12,3,8,5,0.050,0.078
2048,23,36,13,4,10,6,0.050,0.072
2050,18,31,13,3,8,5,0.050,0.078
2052,25,39,14,4,10,6,0.028,0.022
2053,26,41,15,4,11,7,0.028,0.022
2054,26,41,15,5,11,6,0.028,0.022
2056,25,39,14,4,10,6,0.028,0.022
2061,19,31,12,3,7,4,0.050,0.078
2062,25,39,14,5,10,5,0.028,0.022
2066,15,27,12,2,6,4,0.050,0.078
2067,22,36,14,4,9,5,0.028,0.022
2071,22,36,14,3,9,6,0.028,0.022
2072,23,36,13,4,9,5,0.028,0.022
2081,24,37,13,4,10,6,0.028,0.022
2090,24,38,14,4,10,6,0.028,0.022
2093,23,36,13,4,9,5,0.028,0.022
2108,20,33,13,3,8,5,0.011,0.022
2109,20,32,12,3,8,5,0.011,0.022
2110,20,32,12,3,8,5,0.011,0.022
2111,20,33,13,3,8,5,0.011,0.022
2113,20,32,12,3,8,5,0.011,0.022
2114,21,33,12,3,8,5,0.011,0.022
2115,21,33,12,3,8,5,0.011,0.022
2116,20,33,13,3,8,5,0.011,0.022
2118,20,33,13,3,8,5,0.011,0.022
2119,20,33,13,3,8,5,0.011,0.022
2120,21,34,13,3,8,5,0.011,0.022
2121,21,33,12,3,8,5,0.011,0.022
2122,20,33,13,3,8,5,0.011,0.022
2124,21,33,12,3,8,5,0.011,0.022
2125,20,33,13,3,8,5,0.011,0.022
2126,20,33,13,3,8,5,0.011,0.022
2127,20,32,12,3,8,5,0.011,0.022
2128,20,32,12,3,8,5,0.011,0.022
2129,20,33,13,3,8,5,0.011,0.022
2130,22,35,13,4,9,5,0.011,0.022
2131,22,35,13,4,9,5,0.011,0.022
2132,22,35,13,4,9,5,0.011,0.022
2134,22,35,13,3,9,6,0.011,0.022
2135,21,34,13,3,8,5,0.011,0.022
2136,21,33,12,3,8,5,0.011,0.022
2138,22,35,13,3,9,6,0.011,0.017
2139,21,34,13,3,9,6,0.011,0.017
2140,22,35,13,4,9,5,0.011,0.017
2141,21,33,12,3,8,5,0.011,0.017
2142,21,33,12,3,8,5,0.011,0.017
2143,21,34,13,3,9,6,0.011,0.017
2144,22,36,14,4,9,5,0.011,0.017
2145,21,33,12,3,8,5,0.011,0.017
2148,21,34,13,3,9,6,0.011,0.017
2149,21,33,12,3,8,5,0.011,0.017
2150,20,32,12,3,8,5,0.011,0.022
2151,21,33,12,4,9,5,0.011,0.022
2152,19,32,13,3,8,5,0.011,0.022
2155,22,35,13,4,9,5,0.011,0.017
2163,22,35,13,3,9,6,0.011,0.022
2169,20,32,12,3,7,4,0.028,0.022
2170,20,32,12,3,7,4,0.028,0.022
2171,20,32,12,3,8,5,0.028,0.022
2176,22,35,13,4,9,5,0.011,0.017
2180,22,36,14,4,10,6,0.011,0.017
2184,20,33,13,3,8,5,0.028,0.022
2186,20,32,12,3,7,4,0.028,0.022
2188,20,33,13,3,8,5,0.028,0.022
2189,20,32,12,3,7,4,0.028,0.022
2190,21,34,13,4,8,4,0.028,0.022
2191,19,32,13,3,7,4,0.028,0.022
2199,20,33,13,3,8,5,0.011,0.022
2203,20,33,13,3,8,5,0.011,0.022
2210,20,32,12,3,8,5,0.011,0.022
2215,21,34,13,3,8,5,0.011,0.022
2301,25,38,13,5,10,5,0.050,0.078
2302,24,38,14,5,10,5,0.050,0.078
2322,23,36,13,4,9,5,0.028,0.022
2324,25,39,14,5,11,6,0.050,0.078
2330,20,33,13,4,9,5,0.050,0.078
2332,19,32,13,3,8,5,0.050,0.078
2333,25,38,13,5,11,6,0.050,0.078
2338,23,36,13,5,10,5,0.050,0.078
2339,23,36,13,5,10,5,0.050,0.078
2341,23,36,13,5,10,5,0.050,0.078
2343,22,34,12,4,9,5,0.028,0.022
2346,23,37,14,5,11,6,0.050,0.078
2347,24,38,14,5,11,6,0.050,0.078
2351,23,36,13,4,10,6,0.050,0.078
2356,24,37,13,4,10,6,0.050,0.072
2357,25,38,13,5,10,5,0.050,0.072
2359,21,34,13,4,9,5,0.050,0.078
2360,14,25,11,2,5,3,0.050,0.078
2364,18,31,13,3,8,5,0.050,0.078
2367,22,34,12,5,10,5,0.050,0.078
2368,21,34,13,3,8,5,0.028,0.022
2370,23,36,13,4,10,6,0.050,0.078
2375,24,37,13,4,10,6,0.050,0.072
2379,25,39,14,5,11,6,0.050,0.078
2382,24,37,13,5,10,5,0.050,0.078
2420,22,36,14,4,9,5,0.011,0.017
2421,22,36,14,4,9,5,0.011,0.017
2445,21,34,13,3,8,5,0.028,0.022
2446,21,34,13,3,8,5,0.028,0.022
2451,23,37,14,4,10,6,0.011,0.017
2452,23,37,14,4,9,5,0.011,0.017
2453,23,37,14,4,10,6,0.011,0.017
2457,24,38,14,4,10,6,,
2458,22,35,13,3,9,6,0.011,0.017
2459,22,35,13,3,9,6,0.011,0.017
2460,22,36,14,3,9,6,0.011,0.017
2461,22,36,14,4,9,5,0.011,0.017
2462,23,37,14,4,9,5,0.011,0.017
2464,23,36,13,4,9,5,0.011,0.017
2465,23,36,13,4,9,5,0.011,0.017
2466,23,37,14,4,9,5,0.011,0.017
2467,22,35,13,3,8,5,0.028,0.022
2468,23,36,13,4,9,5,0.011,0.017
2472,23,36,13,4,9,5,0.011,0.017
2474,23,37,14,4,10,6,0.011,0.017
2476,23,37,14,4,9,5,0.011,0.017
2478,23,36,13,4,9,5,0.011,0.017
2481,24,37,13,4,10,6,0.028,0.022
2482,24,38,14,4,10,6,0.028,0.022
2492,23,36,13,4,9,5,0.028,0.022
2493,24,37,13,4,10,6,0.011,0.017
2494,23,36,13,4,9,5,0.028,0.022
2532,13,24,11,2,6,4,0.028,0.050
2534,12,23,11,2,5,3,0.028,0.050
2535,3,10,7,0,0,0,0.000,0.000
2536,6,14,8,0,1,1,0.028,0.050
2537,7,17,10,1,2,1,0.028,0.050
2538,12,23,11,2,5,3,0.050,0.078
2539,3,13,10,0,0,0,0.000,0.000
2540,6,14,8,0,1,1,0.028,0.050
2542,11,22,11,2,5,3,0.028,0.050
2543,5,13,8,0,1,1,0.028,0.050
2553,13,24,11,2,6,4,0.028,0.050
2554,0,1,1,0,0,0,0.000,0.000
2556,7,16,9,1,2,1,0.028,0.050
2557,3,12,9,0,0,0,0.000,0.000
2558,12,24,12,2,5,3,0.050,0.078
2559,12,23,11,2,5,3,0.028,0.050
2561,13,24,11,2,6,4,0.028,0.050
2562,10,21,11,1,4,3,0.028,0.050
2563,8,17,9,1,2,1,0.028,0.050
2564,0,1,1,0,0,0,0.000,0.000
2568,3,11,8,0,0,0,0.000,0.000
2571,13,24,11,2,5,3,0.050,0.078
2575,3,11,8,0,0,0,0.000,0.000
2576,15,27,12,2,6,4,0.050,0.078
2584,0,1,1,0,0,0,0.000,0.000
2601,4,12,8,0,0,0,0.028,0.050
2630,4,11,7,0,1,1,0.028,0.050
2631,1,5,4,0,0,0,0.028,0.050
2632,4,12,8,0,1,1,0.028,0.050
2633,1,3,2,0,0,0,0.028,0.050
2635,5,13,8,0,1,1,0.028,0.050
2637,4,11,7,0,1,1,0.028,0.050
2638,2,7,5,0,0,0,0.028,0.050
2639,1,6,5,0,0,0,0.028,0.050
2641,2,7,5,0,0,0,0.028,0.050
2642,2,7,5,0,0,0,0.028,0.050
2643,1,5,4,0,0,0,0.028,0.050
2644,9,19,10,1,3,2,0.028,0.050
2645,1,4,3,0,0,0,0.028,0.050
2646,1,4,3,0,0,0,0.028,0.050
2647,3,11,8,0,0,0,0.028,0.050
2648,7,15,8,0,2,2,0.028,0.050
2649,5,14,9,0,1,1,0.028,0.050
2650,1,3,2,0,0,0,0.028,0.050
